transaction_id,customer_id,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,transaction_type,location,device,is_foreign,is_high_risk_country,is_fraud
T1114,C429,2268,7714,5446,42169,44437,PAYMENT,UK,ATM,0,0,0
T1115,C19,32649,7358,0,37522,70171,TRANSFER,India,ATM,0,0,0
T1116,C380,47524,9031,0,44232,91756,TRANSFER,UK,Laptop,1,1,1
T1117,C428,23287,27505,4218,33707,56994,CASH_OUT,UK,ATM,0,0,0
T1118,C135,47847,10921,0,15118,62965,CASH_OUT,USA,ATM,1,1,1
T1119,C140,42170,49718,7548,37203,79373,CASH_IN,Nigeria,ATM,0,0,0
T1120,C470,13551,41470,27919,44142,57693,CASH_OUT,China,Laptop,1,0,0
T1121,C24,4196,21761,17565,11850,16046,CASH_IN,Russia,ATM,1,0,0
T1122,C17,23270,36211,12941,28291,51561,CASH_IN,Russia,Mobile,1,1,1
T1123,C115,13296,17151,3855,33209,46505,TRANSFER,UK,ATM,0,1,0
T1124,C98,957,20190,19233,10047,11004,PAYMENT,UK,Mobile,0,0,0
T1125,C225,6589,41251,34662,39951,46540,TRANSFER,USA,Laptop,1,0,0
T1126,C210,43549,48939,5390,34025,77574,PAYMENT,USA,Tablet,1,0,0
T1127,C422,43285,34143,0,2020,45305,CASH_IN,USA,Tablet,1,1,1
T1128,C15,31030,44866,13836,31802,62832,CASH_IN,USA,Tablet,0,0,0
T1129,C158,13563,30817,17254,17878,31441,CASH_OUT,UK,Laptop,0,0,0
T1130,C447,10081,37890,27809,2573,12654,CASH_IN,Nigeria,Mobile,1,1,1
T1131,C109,39161,24248,0,17242,56403,CASH_IN,UK,Mobile,0,1,0
T1132,C207,40830,21364,0,27594,68424,CASH_OUT,India,ATM,1,0,0
T1133,C115,23063,34442,11379,45298,68361,TRANSFER,USA,Laptop,1,0,0
T1134,C158,30126,32830,2704,47559,77685,CASH_OUT,Nigeria,Laptop,1,0,0
T1135,C210,9929,5651,0,3736,13665,CASH_OUT,USA,Tablet,1,1,0
T1136,C397,7165,48434,41269,17716,24881,CASH_IN,USA,Mobile,1,1,0
T1137,C35,41161,1112,0,11966,53127,TRANSFER,India,Tablet,0,1,0
T1138,C37,48991,46037,0,38878,87869,CASH_IN,UK,Mobile,0,0,0
T1139,C193,34818,21153,0,28919,63737,CASH_IN,India,Laptop,0,0,0
T1140,C165,42688,15974,0,35440,78128,CASH_OUT,China,Mobile,1,1,1
T1141,C338,19560,17604,0,13643,33203,PAYMENT,UK,Laptop,0,0,0
T1142,C166,38720,48902,10182,47057,85777,TRANSFER,Nigeria,Laptop,1,0,0
T1143,C39,26294,32063,5769,9690,35984,CASH_OUT,UK,Laptop,1,1,1
T1144,C356,33429,38314,4885,42389,75818,TRANSFER,India,ATM,1,0,0
T1145,C402,35669,35159,0,40375,76044,PAYMENT,USA,ATM,0,1,0
T1146,C313,1608,49135,47527,7517,9125,TRANSFER,UK,Laptop,1,1,0
T1147,C443,48516,4328,0,13295,61811,CASH_OUT,India,ATM,1,1,1
T1148,C21,37986,44206,6220,8196,46182,PAYMENT,Nigeria,Laptop,1,0,0
T1149,C294,33989,46491,12502,10294,44283,TRANSFER,Russia,Laptop,1,1,1
T1150,C53,9161,3031,0,49164,58325,TRANSFER,India,ATM,0,1,0
T1151,C479,25666,35531,9865,10367,36033,CASH_IN,UK,Mobile,1,1,1
T1152,C208,38929,23072,0,38178,77107,TRANSFER,Nigeria,ATM,0,0,0
T1153,C113,7779,4044,0,25866,33645,TRANSFER,UK,Laptop,1,1,0
T1154,C244,13325,45819,32494,13641,26966,CASH_IN,India,ATM,0,0,0
T1155,C167,25646,7472,0,4640,30286,CASH_OUT,UK,ATM,1,1,1
T1156,C376,10466,15217,4751,1787,12253,CASH_OUT,UK,Mobile,1,0,0
T1157,C447,40348,37448,0,36701,77049,CASH_IN,UK,Laptop,0,0,0
T1158,C71,6659,27127,20468,41374,48033,CASH_IN,Russia,Laptop,1,0,0
T1159,C31,32067,36677,4610,6067,38134,CASH_OUT,China,Tablet,1,0,0
T1160,C46,7800,45225,37425,24701,32501,TRANSFER,China,ATM,0,0,0
T1161,C64,35017,1124,0,7315,42332,TRANSFER,USA,Laptop,0,1,0
T1162,C383,31112,13333,0,23751,54863,CASH_IN,UK,Tablet,1,1,1
T1163,C425,11953,26596,14643,41694,53647,CASH_IN,India,Mobile,0,1,0
T1164,C381,48067,11257,0,36317,84384,PAYMENT,UK,ATM,0,1,0
T1165,C442,13235,25127,11892,3241,16476,CASH_OUT,China,Laptop,1,1,1
T1166,C262,33325,16536,0,3183,36508,CASH_IN,India,Laptop,0,1,0
T1167,C403,40223,24618,0,7770,47993,TRANSFER,Russia,Laptop,0,0,0
T1168,C50,45340,21120,0,39853,85193,TRANSFER,Russia,ATM,0,0,0
T1169,C433,31430,33052,1622,7843,39273,PAYMENT,UK,Mobile,1,0,0
T1170,C286,29281,27218,0,35007,64288,PAYMENT,Russia,Tablet,0,0,0
T1171,C128,921,48236,47315,14432,15353,CASH_OUT,USA,ATM,1,1,0
T1172,C271,8056,21074,13018,32224,40280,CASH_OUT,Russia,ATM,1,1,0
T1173,C101,33833,10465,0,34324,68157,PAYMENT,India,Laptop,1,1,1
T1174,C46,18202,46529,28327,31672,49874,CASH_IN,China,ATM,0,1,0
T1175,C59,20568,48558,27990,19345,39913,PAYMENT,USA,Mobile,0,0,0
T1176,C240,33645,14766,0,28674,62319,CASH_IN,China,Mobile,1,1,1
T1177,C234,21766,5305,0,32038,53804,CASH_IN,India,Tablet,0,1,0
T1178,C50,3353,8603,5250,42449,45802,TRANSFER,UK,ATM,0,0,0
T1179,C324,49885,20610,0,38995,88880,PAYMENT,UK,Tablet,1,0,0
T1180,C406,1912,36765,34853,43287,45199,CASH_IN,India,Laptop,0,0,0
T1181,C282,4332,32088,27756,44000,48332,TRANSFER,USA,Mobile,1,1,0
T1182,C118,7560,29243,21683,42984,50544,CASH_OUT,Nigeria,Laptop,1,0,0
T1183,C123,31487,12362,0,44154,75641,CASH_IN,China,ATM,1,0,0
T1184,C424,18454,19316,862,21648,40102,CASH_OUT,India,Tablet,1,0,0
T1185,C164,43796,46729,2933,49622,93418,PAYMENT,Nigeria,ATM,0,0,0
T1186,C286,8077,32290,24213,6450,14527,CASH_IN,India,Tablet,1,0,0
T1187,C352,11053,6799,0,15501,26554,CASH_OUT,India,Tablet,1,1,1
T1188,C500,27826,16351,0,8428,36254,TRANSFER,India,Mobile,1,1,1
T1189,C54,18500,8301,0,3332,21832,CASH_OUT,India,Mobile,1,0,0
T1190,C472,9875,32434,22559,45306,55181,PAYMENT,China,Mobile,1,0,0
T1191,C245,12600,15592,2992,40326,52926,CASH_IN,USA,Laptop,0,0,0
T1192,C136,13504,38164,24660,22707,36211,CASH_IN,UK,Laptop,1,1,1
T1193,C425,15978,49331,33353,31333,47311,PAYMENT,Nigeria,Tablet,0,1,0
T1194,C350,38818,48485,9667,34285,73103,PAYMENT,USA,Tablet,1,1,1
T1195,C465,8767,5828,0,5103,13870,CASH_IN,Russia,Mobile,0,0,0
T1196,C115,20206,31534,11328,4743,24949,CASH_IN,Nigeria,Laptop,1,0,0
T1197,C365,49452,30437,0,34016,83468,CASH_IN,China,ATM,1,1,1
T1198,C289,7142,26246,19104,38481,45623,PAYMENT,UK,Laptop,0,0,0
T1199,C98,10237,1948,0,5357,15594,TRANSFER,Nigeria,Laptop,1,0,0
T1200,C355,37625,46843,9218,10736,48361,PAYMENT,Nigeria,Tablet,1,1,1
T1201,C343,37017,13747,0,48587,85604,CASH_IN,India,Tablet,1,1,1
T1202,C305,10603,35214,24611,16364,26967,CASH_OUT,USA,ATM,0,1,0
T1203,C445,16540,43105,26565,3002,19542,PAYMENT,Nigeria,Laptop,0,0,0
T1204,C351,22295,15790,0,27844,50139,CASH_OUT,China,Laptop,1,0,0
T1205,C450,28740,42313,13573,33720,62460,TRANSFER,China,ATM,0,1,0
T1206,C121,10900,35838,24938,32589,43489,CASH_OUT,USA,ATM,1,1,1
T1207,C258,44276,9906,0,44661,88937,PAYMENT,Nigeria,Laptop,0,1,0
T1208,C379,26236,12638,0,6437,32673,CASH_IN,Nigeria,ATM,0,0,0
T1209,C375,30420,25402,0,24963,55383,CASH_IN,UK,ATM,1,0,0
T1210,C132,29629,2566,0,23247,52876,CASH_IN,UK,Laptop,0,0,0
T1211,C116,1301,37101,35800,17922,19223,CASH_OUT,UK,ATM,0,0,0
T1212,C375,5990,2829,0,33517,39507,PAYMENT,India,Laptop,1,0,0
T1213,C452,40307,43901,3594,22815,63122,TRANSFER,UK,Tablet,0,1,0
T1214,C147,18164,11823,0,25702,43866,CASH_OUT,UK,Tablet,1,1,1
T1215,C100,22508,45439,22931,16511,39019,PAYMENT,Nigeria,Laptop,1,1,1
T1216,C127,8066,46971,38905,4314,12380,PAYMENT,USA,Tablet,0,0,0
T1217,C443,22021,48981,26960,39887,61908,CASH_OUT,Russia,Tablet,1,1,1
T1218,C173,39596,33369,0,8191,47787,CASH_IN,China,Mobile,1,0,0
T1219,C298,24080,31910,7830,16781,40861,TRANSFER,Nigeria,ATM,1,0,0
T1220,C276,28861,43218,14357,29276,58137,CASH_OUT,UK,Laptop,0,1,0
T1221,C15,36715,20237,0,19723,56438,PAYMENT,Nigeria,Tablet,1,1,1
T1222,C9,19965,36306,16341,36225,56190,CASH_OUT,China,Laptop,1,1,1
T1223,C300,44633,25937,0,11901,56534,PAYMENT,India,Tablet,0,0,0
T1224,C357,29620,14985,0,45669,75289,CASH_OUT,USA,Laptop,0,1,0
T1225,C40,13783,10459,0,33792,47575,TRANSFER,UK,Tablet,1,0,0
T1226,C318,29256,3286,0,45758,75014,CASH_IN,India,ATM,0,1,0
T1227,C459,25944,7548,0,23176,49120,PAYMENT,USA,Mobile,1,0,0
T1228,C173,18858,10110,0,33604,52462,CASH_IN,Russia,Laptop,0,0,0
T1229,C311,25070,48674,23604,48877,73947,TRANSFER,UK,ATM,1,1,1
T1230,C389,3940,10679,6739,15361,19301,CASH_IN,UK,Mobile,1,0,0
T1231,C66,30730,26557,0,16127,46857,TRANSFER,Nigeria,Mobile,0,1,0
T1232,C342,3849,37355,33506,39474,43323,CASH_IN,Russia,Laptop,0,1,0
T1233,C325,35499,31235,0,16655,52154,CASH_IN,China,Tablet,0,0,0
T1234,C160,40020,43751,3731,45619,85639,TRANSFER,China,Tablet,0,0,0
T1235,C1,40221,17944,0,19462,59683,TRANSFER,China,ATM,0,1,0
T1236,C167,4431,21036,16605,35751,40182,PAYMENT,USA,Laptop,1,0,0
T1237,C16,25594,46824,21230,4516,30110,CASH_OUT,USA,Tablet,1,0,0
T1238,C29,16427,13785,0,18379,34806,TRANSFER,UK,Laptop,0,0,0
T1239,C404,47727,22044,0,5883,53610,CASH_OUT,India,Tablet,0,0,0
T1240,C252,412,36145,35733,20811,21223,PAYMENT,India,ATM,0,0,0
T1241,C369,40283,19023,0,13050,53333,PAYMENT,India,Mobile,1,0,0
T1242,C468,40398,10156,0,34206,74604,PAYMENT,Russia,Laptop,0,1,0
T1243,C433,15389,6022,0,41361,56750,TRANSFER,Russia,Tablet,1,0,0
T1244,C455,40971,34214,0,9807,50778,PAYMENT,India,ATM,0,1,0
T1245,C191,20620,30754,10134,44795,65415,CASH_OUT,USA,ATM,0,1,0
T1246,C59,30990,40380,9390,32216,63206,PAYMENT,India,Laptop,1,1,1
T1247,C244,5365,34203,28838,29730,35095,CASH_OUT,India,Laptop,0,0,0
T1248,C361,20173,2693,0,22656,42829,CASH_IN,China,Mobile,1,0,0
T1249,C218,28778,29785,1007,14490,43268,PAYMENT,UK,Tablet,1,0,0
T1250,C313,10550,2190,0,37330,47880,TRANSFER,China,ATM,0,0,0
T1251,C217,32770,8684,0,12399,45169,PAYMENT,Russia,ATM,0,0,0
T1252,C58,46874,43821,0,3904,50778,TRANSFER,India,ATM,0,0,0
T1253,C139,1467,40991,39524,34342,35809,CASH_IN,Russia,Laptop,1,1,0
T1254,C383,347,4984,4637,18830,19177,CASH_IN,Russia,Laptop,0,1,0
T1255,C380,6811,22332,15521,11907,18718,CASH_OUT,China,Tablet,1,1,0
T1256,C308,49626,48363,0,27997,77623,CASH_OUT,UK,Tablet,0,0,0
T1257,C119,1601,49230,47629,26482,28083,CASH_OUT,India,Laptop,1,0,0
T1258,C177,27335,18884,0,45104,72439,CASH_IN,India,ATM,0,0,0
T1259,C300,32364,29327,0,20261,52625,PAYMENT,India,ATM,0,0,0
T1260,C462,15391,29697,14306,25621,41012,CASH_IN,Nigeria,Laptop,0,0,0
T1261,C210,23895,35365,11470,25035,48930,PAYMENT,India,Tablet,1,1,1
T1262,C115,24060,45994,21934,17176,41236,CASH_OUT,Nigeria,Tablet,0,1,0
T1263,C457,34617,12976,0,23685,58302,CASH_IN,USA,Mobile,1,1,1
T1264,C48,43588,24262,0,14193,57781,CASH_OUT,India,Tablet,1,0,0
T1265,C467,24343,25229,886,39846,64189,CASH_IN,USA,ATM,0,1,0
T1266,C198,23810,33092,9282,25867,49677,CASH_OUT,Nigeria,Mobile,1,1,1
T1267,C352,4098,2951,0,10933,15031,PAYMENT,USA,Laptop,1,0,0
T1268,C98,15397,11746,0,28178,43575,TRANSFER,UK,ATM,0,0,0
T1269,C23,1092,21234,20142,18341,19433,PAYMENT,India,Mobile,1,1,0
T1270,C260,48303,22833,0,31131,79434,CASH_OUT,USA,Mobile,1,0,0
T1271,C94,39175,29934,0,43301,82476,CASH_IN,Russia,ATM,1,0,0
T1272,C496,188,12925,12737,38072,38260,CASH_OUT,China,Laptop,0,1,0
T1273,C2,18315,28355,10040,2659,20974,PAYMENT,Nigeria,ATM,1,1,1
T1274,C270,5316,10867,5551,38014,43330,PAYMENT,USA,Laptop,1,1,0
T1275,C108,8777,28618,19841,17239,26016,CASH_IN,Russia,Laptop,0,1,0
T1276,C11,11371,6309,0,36014,47385,CASH_OUT,China,Tablet,0,1,0
T1277,C137,15910,26414,10504,43914,59824,PAYMENT,China,Laptop,1,0,0
T1278,C355,22473,17792,0,13072,35545,PAYMENT,Nigeria,Tablet,0,1,0
T1279,C191,40044,40438,394,32103,72147,PAYMENT,USA,Mobile,1,1,1
T1280,C406,26880,21785,0,44966,71846,CASH_IN,Russia,Mobile,0,1,0
T1281,C358,21382,36401,15019,35920,57302,TRANSFER,India,Mobile,0,0,0
T1282,C13,39336,42460,3124,19925,59261,TRANSFER,India,Mobile,0,0,0
T1283,C446,6056,28787,22731,46451,52507,PAYMENT,Nigeria,Tablet,1,1,0
T1284,C416,19258,7128,0,47122,66380,TRANSFER,Russia,Tablet,1,1,1
T1285,C111,15094,3187,0,40026,55120,TRANSFER,USA,ATM,0,0,0
T1286,C359,25229,9655,0,9351,34580,PAYMENT,Russia,Tablet,0,1,0
T1287,C166,29134,45485,16351,16850,45984,CASH_OUT,Russia,ATM,1,0,0
T1288,C296,41147,27486,0,39607,80754,PAYMENT,China,Mobile,0,1,0
T1289,C425,7607,41941,34334,47802,55409,PAYMENT,Nigeria,Tablet,1,0,0
T1290,C389,39412,7504,0,16589,56001,TRANSFER,Nigeria,Laptop,1,0,0
T1291,C159,12783,42426,29643,34495,47278,CASH_IN,UK,Mobile,0,0,0
T1292,C372,47180,9800,0,36244,83424,CASH_OUT,USA,Tablet,1,1,1
T1293,C76,480,13835,13355,8718,9198,CASH_IN,India,Mobile,1,0,0
T1294,C387,14053,42623,28570,14496,28549,CASH_IN,India,Mobile,0,0,0
T1295,C149,46269,32061,0,5613,51882,TRANSFER,China,Laptop,0,1,0
T1296,C416,3374,1431,0,13197,16571,CASH_IN,USA,ATM,1,0,0
T1297,C299,21876,21623,0,8354,30230,TRANSFER,China,ATM,0,1,0
T1298,C288,36461,23535,0,36112,72573,CASH_IN,China,Tablet,0,0,0
T1299,C396,1586,18574,16988,27990,29576,CASH_IN,India,ATM,1,0,0
T1300,C330,34840,36427,1587,22467,57307,PAYMENT,UK,Tablet,1,1,1
T1301,C468,10166,8127,0,39592,49758,CASH_OUT,China,Mobile,0,1,0
T1302,C157,15629,6611,0,17608,33237,CASH_OUT,Russia,Mobile,1,0,0
T1303,C399,9200,33212,24012,44189,53389,CASH_IN,Nigeria,Tablet,0,0,0
T1304,C467,47127,41818,0,3685,50812,CASH_OUT,USA,Tablet,1,1,1
T1305,C491,22133,1729,0,5424,27557,CASH_IN,Nigeria,ATM,0,1,0
T1306,C60,47159,35051,0,39484,86643,CASH_OUT,China,ATM,1,0,0
T1307,C427,8249,26509,18260,28377,36626,PAYMENT,UK,Mobile,1,0,0
T1308,C127,45833,49574,3741,38724,84557,PAYMENT,India,Mobile,1,0,0
T1309,C226,46442,5341,0,32591,79033,CASH_OUT,China,Mobile,1,0,0
T1310,C372,21542,35959,14417,14553,36095,CASH_OUT,USA,Mobile,1,0,0
T1311,C484,47209,29400,0,24472,71681,CASH_OUT,Russia,Laptop,0,1,0
T1312,C253,44185,12840,0,29116,73301,TRANSFER,China,Laptop,0,1,0
T1313,C413,46179,49220,3041,3802,49981,TRANSFER,India,ATM,1,1,1
T1314,C179,35362,34278,0,7991,43353,CASH_IN,Russia,ATM,1,1,1
T1315,C125,10380,16599,6219,42584,52964,CASH_OUT,India,Laptop,0,0,0
T1316,C24,37676,43872,6196,31576,69252,PAYMENT,USA,ATM,0,0,0
T1317,C304,40021,34345,0,17179,57200,TRANSFER,Russia,Mobile,0,0,0
T1318,C44,21063,45776,24713,29934,50997,TRANSFER,India,Laptop,0,1,0
T1319,C413,37259,33487,0,15380,52639,PAYMENT,India,Laptop,0,1,0
T1320,C225,23715,36835,13120,33831,57546,PAYMENT,India,Mobile,1,1,1
T1321,C231,8733,47645,38912,1287,10020,TRANSFER,China,Mobile,0,0,0
T1322,C20,15541,9029,0,22906,38447,CASH_OUT,Russia,Laptop,0,1,0
T1323,C167,17785,41656,23871,33533,51318,CASH_OUT,Nigeria,Tablet,0,1,0
